ID;Gender;DateOfBirth;UmbracoMemberId;Leeftijd;leeftijd groep;1_1;1_2;1_3;1_4;1_5;1_6;2_1;2_2;2_3;2_4;2_5;2_6;2_7;2_8;2_9;2_10;2_11;2_12;2_13;2_14;2_15;2_16;2_17;2_18;3_1;3_2;3_3;3_4;3_5;3_6;3_7;3_8;3_9;3_10;3_11;3_12;4_1;4_2;4_3;4_4;4_5;4_6;4_7;4_8;4_9;4_10;4_11;4_12;4_13;4_14;4_15;4_16;4_17;4_18;4_19;4_20;5_1;5_2;5_3;5_4;5_5;5_6;5_7;5_8;5_9;5_10;5_11;5_12;5_13;5_14;5_15;6_2;6_3;6_4;6_5;6_6;6_7;6_8;6_9;6_10;6_11;6_12;6_16;6_17;6_18;6_19;6_20;6_21;7_1;7_2;7_3;7_4;7_5;7_6;7_7;8_1;8_2;8_3;8_4;8_5;8_6;8_7;8_8;9_1;9_3;9_7;9_8;9_9;9_10;9_11;10_1;10_2;10_3;10_4;10_5;10_6;10_7;10_8;11_1;11_2;109_7;109_8;108_1;108_2;108_3;108_4;108_5;109_1;109_2;109_4;109_6;Seizoen 20-21.JO_Team;Seizoen 20-21.Finals
365FE277-0812-466D-804B-0067719F4F95;0;17/06/2012 00:00;22579;9;<11 - 9 of 10 jaar;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;3;3;4;3;4;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
6EF4A9EC-E127-4C73-98E7-0094F9128D7E;1;20/09/2010 00:00;21350;11;<13 - 11 of 12 jaar;2;4;2;5;4;5;2;2;2;5;4;5;4;3;2;1;3;1;1;2;1;2;1;1;4;5;5;5;5;4;4;4;3;2;5;5;2;2;3;2;3;3;2;2;2;2;2;2;3;3;3;2;4;2;2;3;4;3;3;3;3;2;4;2;2;4;4;5;2;2;3;5;3;5;2;2;8;1;6;NULL;NULL;1;4;3;5;4;4;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
C5CAE80C-374F-4AD3-9E15-02BFB327B38B;0;30/06/2010 00:00;22164;11;<13 - 11 of 12 jaar;1;1;1;5;5;5;3;4;5;5;4;5;5;4;4;1;3;3;1;2;2;4;2;1;3;5;5;5;4;4;3;2;2;3;5;5;4;2;3;3;2;4;4;3;3;3;3;4;3;2;2;3;2;4;2;4;4;4;4;5;2;5;4;3;2;5;5;5;3;4;3;5;5;5;2;3;4;1;7;NULL;NULL;2;2;2;5;5;4;5;3;4;2;3;3;3;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
9A8D90CB-FDD9-429C-B315-03AC6FDEF095;1;25/09/2007 00:00;22936;14;<15 - 13 of 14 jaar;2;1;3;5;5;5;5;4;4;5;5;5;5;4;5;1;2;2;2;2;1;2;1;1;4;5;5;5;5;5;5;2;3;2;5;5;4;4;1;2;4;3;3;4;4;3;3;3;3;3;2;4;5;5;5;4;5;5;4;5;5;5;4;3;4;5;5;5;4;4;4;2;5;2;3;4;8;2;NULL;2;2;2;1;1;5;5;5;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;3;3;3;4;4;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
F2A86A2F-277C-45B8-98DD-03DBC55978C6;0;25/09/2011 00:00;22548;10;<11 - 9 of 10 jaar;2;2;2;4;5;5;4;4;4;4;4;4;4;4;4;2;2;2;3;3;2;4;4;4;4;5;5;5;4;4;4;1;2;2;4;4;3;3;3;3;4;3;2;2;2;2;3;2;3;2;2;4;4;4;4;4;4;5;3;5;4;4;4;2;3;5;5;5;4;4;4;5;3;5;3;3;15;1;6;NULL;NULL;2;1;1;5;5;5;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;4;3;3;3;3;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1
173C822A-CCC3-481B-B651-05E8B707607D;0;10/09/2010 00:00;20234;11;<13 - 11 of 12 jaar;3;2;3;5;5;4;4;4;3;5;4;4;3;4;3;2;2;1;1;2;2;3;2;1;5;5;4;5;5;4;4;1;3;2;5;4;4;3;3;3;4;4;4;4;4;3;4;3;4;3;3;4;4;3;3;3;3;3;4;5;3;4;4;2;3;4;5;5;4;3;3;5;5;5;3;3;10;1;7;NULL;NULL;2;2;2;5;5;5;5;3;4;2;4;2;3;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;3;3;2;3;3;3;2;NULL;NULL;146;35;1.00;2.00;0.00;4.00;2.00;2.00;1.00;3.00;1.00;0;0
0088A11B-05D4-4A62-8C76-069F1D11795A;0;11/08/2014 00:00;20792;7;<9 - 8 jaar of jonger;3;3;1;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
FAF096A2-8100-4A66-B16A-0024EF123D8B;1;03/04/2011 00:00;21165;10;<11 - 9 of 10 jaar;2;2;1;4;5;5;4;5;5;4;5;5;4;4;4;1;2;1;1;2;2;4;2;1;3;5;5;5;5;4;4;3;4;3;5;5;3;4;3;3;4;4;4;4;4;3;3;4;4;4;3;4;4;5;3;4;4;4;4;4;4;4;4;3;3;5;5;3;4;4;4;3;3;3;2;2;1;1;6;NULL;NULL;2;2;3;5;4;4;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
B94EFD40-93F6-43D1-9976-0054D0156796;0;07/07/2008 00:00;21517;13;<15 - 13 of 14 jaar;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;4;3;4;3;4;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0
3BD385A1-7BCF-4432-90E4-009B7A0F102A;1;08/07/2010 00:00;20239;11;<13 - 11 of 12 jaar;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;133;25;4.00;3.00;0.00;1.00;3.00;3.00;1.00;2.00;4.00;0;0
